,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
99,SC0,07/12/08,Hibernian,Celtic,2,0,H,0,0,D,C Thomson,11,16,8,10,10,12,2,12,1,1,0,0
100,SC0,13/12/08,Aberdeen,Falkirk,2,1,H,2,0,H,C Allan,6,7,1,1,6,12,5,4,1,2,0,0
101,SC0,13/12/08,Celtic,Hearts,1,1,D,0,1,A,C Richmond,8,9,2,6,10,15,3,9,0,3,0,0
102,SC0,13/12/08,Dundee United,Rangers,2,2,D,0,1,A,I Brines,7,10,3,6,9,15,5,4,1,3,0,0
103,SC0,13/12/08,Hibernian,Hamilton,2,0,H,1,0,H,B Winter,21,10,11,4,13,19,5,7,1,3,0,0
104,SC0,13/12/08,St Mirren,Inverness C,2,0,H,1,0,H,S Conroy,16,9,8,6,3,11,7,6,0,1,0,0
105,SC0,15/12/08,Motherwell,Kilmarnock,0,2,A,0,1,A,M Tumilty,13,9,8,7,6,6,4,3,0,1,0,0
106,SC0,20/12/08,Hamilton,Motherwell,2,0,H,1,0,H,I Brines,8,13,4,6,16,12,1,3,2,3,0,0
107,SC0,20/12/08,Hearts,Dundee United,0,0,D,0,0,D,W Collum,8,4,7,1,12,11,6,5,2,1,0,0
108,SC0,20/12/08,Inverness C,Aberdeen,0,3,A,0,1,A,C Murray,17,10,7,7,12,9,10,5,3,1,0,0
109,SC0,20/12/08,Kilmarnock,St Mirren,0,1,A,0,1,A,S O'Reilly,14,9,6,4,18,12,6,6,3,1,0,0
110,SC0,20/12/08,Rangers,Hibernian,1,0,H,0,0,D,S Conroy,25,2,11,1,12,9,11,0,0,1,0,0
111,SC0,21/12/08,Falkirk,Celtic,0,3,A,0,0,D,E Smith,5,16,4,9,10,8,3,6,3,1,0,0
112,SC0,27/12/08,Aberdeen,Hearts,1,0,H,1,0,H,I Brines,8,2,6,1,15,10,3,6,4,3,0,1
113,SC0,27/12/08,Dundee United,Falkirk,1,0,H,1,0,H,C Boyle,8,9,1,1,5,18,11,8,0,2,0,1
114,SC0,27/12/08,Hibernian,Kilmarnock,2,4,A,2,2,D,E Norris,9,7,5,6,18,18,10,4,4,1,0,1
115,SC0,27/12/08,Motherwell,Inverness C,3,2,H,2,1,H,C Richmond,12,8,5,5,14,7,4,5,0,3,0,0
116,SC0,27/12/08,Rangers,Celtic,0,1,A,0,0,D,C Thomson,14,6,7,4,18,17,7,2,1,2,0,0
117,SC0,27/12/08,St Mirren,Hamilton,1,0,H,0,0,D,M Tumilty,11,8,5,1,8,15,11,2,2,1,0,0
118,SC0,03/01/09,Celtic,Dundee United,2,2,D,1,0,H,S Conroy,9,5,5,3,8,14,3,8,1,1,0,0
119,SC0,03/01/09,Falkirk,Kilmarnock,1,1,D,1,0,H,I Brines,10,10,4,4,18,18,5,3,4,4,0,0
120,SC0,03/01/09,Hamilton,Aberdeen,2,0,H,0,0,D,S Finnie,7,13,3,3,16,17,3,9,2,2,1,0
121,SC0,03/01/09,Hearts,Hibernian,0,0,D,0,0,D,C Murray,18,6,8,1,7,17,6,2,1,3,0,0
122,SC0,03/01/09,St Mirren,Motherwell,0,0,D,0,0,D,A Muir,7,5,3,4,14,18,3,6,2,1,0,0
123,SC0,04/01/09,Inverness C,Rangers,0,3,A,0,0,D,D McDonald,11,20,5,13,5,4,4,7,1,0,0,0
124,SC0,07/01/09,Motherwell,Hearts,1,0,H,1,0,H,D Somers,3,3,1,1,18,16,5,5,1,0,0,0
125,SC0,13/01/09,Kilmarnock,Aberdeen,1,2,A,1,1,D,E Smith,13,13,7,9,16,8,7,6,4,3,0,0
126,SC0,17/01/09,Hamilton,Inverness C,1,0,H,1,0,H,B Winter,6,8,1,3,10,18,1,5,1,4,0,0
127,SC0,17/01/09,Hibernian,St Mirren,2,0,H,1,0,H,I Brines,15,14,6,7,11,9,7,8,2,1,0,0
128,SC0,17/01/09,Kilmarnock,Hearts,0,2,A,0,0,D,C Richmond,12,6,7,5,11,19,5,6,1,3,0,0
129,SC0,17/01/09,Rangers,Falkirk,3,1,H,1,1,D,W Collum,22,5,12,1,7,14,12,1,1,3,1,1
130,SC0,18/01/09,Aberdeen,Celtic,4,2,H,2,1,H,D McDonald,8,14,6,8,10,17,5,9,2,2,0,0
