,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
161,D1,28/01/07,Werder Bremen,Hannover,3,0,H,1,0,H,16,12,11,4,9,22,6,7,1,2,0,0
162,D1,30/01/07,Bayern Munich,Bochum,0,0,D,0,0,D,22,8,12,6,11,21,7,2,1,2,0,0
163,D1,30/01/07,M'gladbach,Nurnberg,0,0,D,0,0,D,7,7,1,4,21,34,9,3,1,2,0,0
164,D1,30/01/07,Stuttgart,Bielefeld,3,2,H,1,1,D,15,9,7,5,26,18,9,1,2,4,0,1
165,D1,30/01/07,Wolfsburg,Ein Frankfurt,2,2,D,1,0,H,11,15,6,9,22,27,5,3,1,2,0,0
166,D1,31/01/07,Hamburg,Cottbus,1,1,D,1,1,D,23,6,16,2,14,22,11,1,2,1,0,0
167,D1,31/01/07,Hannover,Hertha,5,0,H,3,0,H,14,10,9,5,19,15,7,3,1,2,0,0
168,D1,31/01/07,Leverkusen,Werder Bremen,0,2,A,0,1,A,19,18,10,8,19,20,8,8,0,3,1,0
169,D1,31/01/07,Mainz,Dortmund,1,0,H,0,0,D,13,13,5,7,21,16,7,1,2,3,0,0
170,D1,31/01/07,Schalke 04,Aachen,2,1,H,1,1,D,17,10,11,4,23,23,8,1,1,1,0,0
171,D1,02/02/07,Nurnberg,Bayern Munich,3,0,H,1,0,H,9,15,6,8,21,21,3,10,4,3,0,0
172,D1,03/02/07,Aachen,Hannover,1,4,A,1,3,A,15,8,10,6,18,34,9,4,1,2,0,0
173,D1,03/02/07,Bielefeld,M'gladbach,0,2,A,0,1,A,10,12,4,5,14,22,3,4,3,3,0,0
174,D1,03/02/07,Cottbus,Bochum,0,0,D,0,0,D,14,12,6,6,15,26,9,4,0,2,0,0
175,D1,03/02/07,Ein Frankfurt,Mainz,0,0,D,0,0,D,13,12,6,5,19,23,8,5,1,1,0,0
176,D1,03/02/07,Hertha,Hamburg,2,1,H,0,1,A,16,18,10,9,18,26,5,4,3,3,0,0
177,D1,03/02/07,Wolfsburg,Leverkusen,3,2,H,2,1,H,13,14,9,8,16,20,3,3,1,1,0,1
