,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
111,I1,19/11/05,Udinese,Messina,1,0,H,0,0,D,M. De Santis,18.0,5.0,11.0,3.0,20.0,21.0,10.0,0.0,3,3,0,0
112,I1,20/11/05,Chievo,Ascoli,1,1,D,1,1,D,M. Bergonzi,11.0,10.0,6.0,4.0,18.0,21.0,10.0,6.0,0,3,0,0
113,I1,20/11/05,Fiorentina,Milan,3,1,H,1,1,D,P. Rodomonti,6.0,16.0,3.0,5.0,21.0,18.0,2.0,10.0,1,2,0,0
114,I1,20/11/05,Inter,Parma,2,0,H,0,0,D,G. Rocchi,15.0,6.0,9.0,3.0,16.0,18.0,8.0,3.0,2,3,0,0
115,I1,20/11/05,Lecce,Siena,3,0,H,1,0,H,L. Palanca,18.0,8.0,12.0,5.0,20.0,19.0,10.0,3.0,2,4,0,0
116,I1,20/11/05,Livorno,Empoli,2,0,H,1,0,H,R. Rosetti,14.0,5.0,5.0,2.0,16.0,29.0,4.0,3.0,3,1,0,0
117,I1,20/11/05,Reggina,Cagliari,3,1,H,2,0,H,A. De Marco,11.0,4.0,7.0,1.0,26.0,27.0,2.0,5.0,2,3,1,1
118,I1,20/11/05,Sampdoria,Lazio,2,0,H,0,0,D,S. Racalbuto,11.0,6.0,8.0,1.0,27.0,18.0,9.0,4.0,3,2,0,0
119,I1,20/11/05,Treviso,Palermo,2,2,D,2,1,H,A. Giannoccaro,8.0,11.0,4.0,6.0,20.0,18.0,4.0,3.0,1,0,0,0
120,I1,26/11/05,Livorno,Chievo,0,0,D,0,0,D,S. Farina,14.0,5.0,2.0,2.0,22.0,30.0,8.0,3.0,2,3,0,0
121,I1,26/11/05,Milan,Lecce,2,1,H,1,0,H,D. Tombolini,18.0,10.0,6.0,3.0,14.0,22.0,3.0,0.0,1,3,0,0
122,I1,27/11/05,Ascoli,Palermo,1,1,D,0,1,A,P. Mazzoleni,5.0,5.0,3.0,2.0,18.0,20.0,0.0,6.0,2,3,0,0
123,I1,27/11/05,Cagliari,Sampdoria,2,0,H,1,0,H,P. Dondarini,6.0,9.0,3.0,1.0,23.0,12.0,2.0,7.0,3,3,0,0
