,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
144,F1,19/11/05,Marseille,Nantes,2,1,H,1,0,H,17.0,6.0,10.0,3.0,2,3,0,0
145,F1,19/11/05,Monaco,St Etienne,1,0,H,0,0,D,11.0,2.0,4.0,0.0,3,2,0,0
146,F1,19/11/05,Nancy,Le Mans,1,0,H,0,0,D,12.0,4.0,7.0,1.0,2,2,0,1
147,F1,19/11/05,Strasbourg,Nice,0,0,D,0,0,D,17.0,9.0,7.0,3.0,1,1,0,0
148,F1,20/11/05,Bordeaux,Paris SG,0,2,A,0,1,A,9.0,8.0,3.0,4.0,1,2,0,0
149,F1,20/11/05,Rennes,Toulouse,4,1,H,1,0,H,10.0,9.0,9.0,2.0,0,1,0,0
150,F1,25/11/05,Le Mans,Auxerre,0,2,A,0,1,A,16.0,10.0,7.0,4.0,0,1,0,0
151,F1,26/11/05,Lille,Nancy,1,0,H,0,0,D,11.0,6.0,9.0,4.0,0,3,1,0
152,F1,26/11/05,Nice,Lyon,1,1,D,1,0,H,3.0,9.0,2.0,7.0,2,1,0,0
153,F1,26/11/05,Sochaux,Rennes,1,0,H,0,0,D,8.0,7.0,2.0,1.0,0,0,0,0
154,F1,26/11/05,St Etienne,Bordeaux,1,1,D,1,0,H,12.0,14.0,3.0,4.0,1,1,0,1
155,F1,26/11/05,Toulouse,Ajaccio,3,0,H,1,0,H,8.0,12.0,4.0,6.0,1,4,0,0
156,F1,26/11/05,Troyes,Metz,0,0,D,0,0,D,13.0,7.0,6.0,4.0,1,1,0,0
157,F1,27/11/05,Marseille,Monaco,2,1,H,0,1,A,18.0,10.0,7.0,4.0,1,2,0,1
158,F1,27/11/05,Nantes,Strasbourg,4,3,H,0,2,A,10.0,11.0,6.0,5.0,1,3,0,1
159,F1,27/11/05,Paris SG,Lens,3,4,A,1,3,A,16.0,10.0,11.0,5.0,1,2,0,0
160,F1,03/12/05,Ajaccio,Troyes,0,1,A,0,0,D,13.0,13.0,2.0,6.0,0,1,0,0
161,F1,03/12/05,Auxerre,Nantes,4,0,H,3,0,H,11.0,7.0,7.0,3.0,1,2,0,0
162,F1,03/12/05,Bordeaux,Lille,1,0,H,0,0,D,10.0,4.0,4.0,1.0,2,6,0,0
163,F1,03/12/05,Lyon,Paris SG,2,0,H,1,0,H,14.0,4.0,5.0,3.0,2,2,0,0
164,F1,03/12/05,Metz,Toulouse,2,2,D,1,1,D,8.0,9.0,4.0,4.0,0,1,0,0
165,F1,03/12/05,Monaco,Le Mans,2,0,H,2,0,H,10.0,6.0,4.0,1.0,1,1,0,0
166,F1,03/12/05,Strasbourg,Sochaux,0,0,D,0,0,D,15.0,4.0,9.0,1.0,1,3,0,0
167,F1,04/12/05,Lens,St Etienne,2,1,H,1,1,D,16.0,16.0,7.0,4.0,0,0,0,0
168,F1,04/12/05,Nancy,Marseille,1,1,D,0,0,D,6.0,10.0,2.0,3.0,1,3,0,0
169,F1,04/12/05,Rennes,Nice,1,0,H,0,0,D,10.0,8.0,4.0,3.0,3,6,0,1
170,F1,10/12/05,Le Mans,Bordeaux,1,0,H,1,0,H,16.0,13.0,7.0,6.0,2,2,0,1
171,F1,10/12/05,Lille,Lens,0,0,D,0,0,D,12.0,12.0,1.0,4.0,1,2,0,0
172,F1,10/12/05,Marseille,Auxerre,1,0,H,1,0,H,11.0,3.0,3.0,3.0,1,1,0,0
