,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
154,P1,13/01/18,Pacos Ferreira,Maritimo,0,0,D,0,0,D,9,3,1,2,13,9,8,1,1,2,0,0
155,P1,13/01/18,Sp Braga,Benfica,1,3,A,0,1,A,9,10,5,7,14,13,4,2,2,3,0,0
156,P1,14/01/18,Belenenses,Rio Ave,1,2,A,0,1,A,8,6,6,4,22,15,3,5,6,4,1,0
157,P1,14/01/18,Boavista,Portimonense,2,0,H,2,0,H,11,10,6,5,21,14,4,6,4,2,0,2
158,P1,14/01/18,Sp Lisbon,Aves,3,0,H,1,0,H,11,6,5,3,14,15,4,7,0,0,0,0
159,P1,14/01/18,Tondela,Feirense,3,1,H,0,0,D,11,8,6,4,19,13,4,9,5,4,0,1
160,P1,15/01/18,Moreirense,Setubal,2,2,D,1,2,A,9,5,6,3,24,27,7,2,2,6,0,0
161,P1,19/01/18,Porto,Tondela,1,0,H,1,0,H,17,2,10,0,13,14,12,7,0,1,0,0
162,P1,19/01/18,Setubal,Sp Lisbon,1,1,D,0,1,A,3,10,1,2,16,17,0,8,4,3,0,0
163,P1,20/01/18,Benfica,Chaves,3,0,H,2,0,H,11,6,8,1,14,10,8,2,0,0,0,0
164,P1,20/01/18,Maritimo,Belenenses,0,0,D,0,0,D,3,10,1,3,23,20,2,4,1,5,0,1
165,P1,20/01/18,Portimonense,Sp Braga,1,2,A,0,2,A,11,4,4,2,22,18,6,2,1,4,0,0
166,P1,21/01/18,Aves,Pacos Ferreira,0,2,A,0,1,A,10,8,4,5,17,26,12,7,3,5,0,0
167,P1,21/01/18,Feirense,Moreirense,1,0,H,1,0,H,1,9,1,4,16,19,2,6,3,4,0,0
168,P1,21/01/18,Guimaraes,Estoril,3,1,H,1,1,D,13,13,7,5,21,14,10,3,4,2,0,1
169,P1,21/01/18,Rio Ave,Boavista,2,0,H,1,0,H,12,7,9,3,14,16,3,7,2,3,0,0
170,P1,29/01/18,Belenenses,Benfica,1,1,D,0,0,D,5,6,2,2,15,12,7,6,3,1,0,0
171,P1,29/01/18,Pacos Ferreira,Feirense,2,1,H,1,1,D,8,6,3,5,18,20,6,6,0,2,0,0
172,P1,29/01/18,Portimonense,Rio Ave,4,1,H,3,0,H,10,5,7,1,25,10,1,3,3,4,0,0
173,P1,30/01/18,Estoril,Tondela,3,0,H,2,0,H,10,6,4,2,18,18,1,4,0,0,0,0
174,P1,30/01/18,Moreirense,Porto,0,0,D,0,0,D,1,12,0,2,20,11,2,4,4,1,1,0
175,P1,30/01/18,Sp Braga,Aves,2,0,H,1,0,H,15,6,8,2,21,18,4,6,0,1,0,0
176,P1,31/01/18,Boavista,Maritimo,2,1,H,1,1,D,12,6,8,2,13,21,2,3,1,2,0,0
177,P1,31/01/18,Chaves,Setubal,2,2,D,1,1,D,7,8,5,5,14,22,4,8,1,2,0,0
178,P1,31/01/18,Sp Lisbon,Guimaraes,1,0,H,0,0,D,12,7,5,4,7,17,9,3,0,2,0,0
179,P1,03/02/18,Benfica,Rio Ave,5,1,H,0,1,A,13,2,8,1,13,12,10,3,1,2,0,0
180,P1,03/02/18,Porto,Sp Braga,3,1,H,2,1,H,11,7,6,3,23,13,7,3,1,2,0,0
181,P1,04/02/18,Estoril,Sp Lisbon,2,0,H,2,0,H,13,11,6,7,18,11,10,16,0,3,0,0
182,P1,04/02/18,Feirense,Chaves,1,2,A,1,1,D,6,8,1,5,22,11,8,5,2,0,0,0
183,P1,04/02/18,Guimaraes,Pacos Ferreira,3,2,H,2,1,H,8,5,4,1,14,16,6,4,2,2,0,0
184,P1,04/02/18,Tondela,Moreirense,1,2,A,1,1,D,12,7,6,5,13,17,7,4,1,1,0,0
