,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
177,B1,23/01/18,St Truiden,Mechelen,2,0,H,1,0,H,13,7,4,3,16,26,2,1,1,3,0,1
178,B1,23/01/18,Waregem,Standard,2,1,H,1,0,H,5,8,4,5,19,17,6,6,2,4,0,1
179,B1,24/01/18,Anderlecht,Waasland-Beveren,2,2,D,1,1,D,12,10,4,5,13,13,4,7,0,3,0,0
180,B1,24/01/18,Antwerp,Gent,1,1,D,1,1,D,7,8,4,3,18,14,2,9,4,3,0,0
181,B1,24/01/18,Eupen,Charleroi,1,0,H,1,0,H,9,14,2,7,21,15,2,10,2,1,0,0
182,B1,24/01/18,Lokeren,Genk,1,2,A,0,0,D,15,7,7,5,18,13,5,6,1,1,0,0
183,B1,25/01/18,Club Brugge,Oostende,3,2,H,2,0,H,15,11,8,7,15,15,3,5,2,1,0,0
184,B1,26/01/18,Mechelen,Mouscron,0,2,A,0,1,A,11,8,3,3,19,18,5,6,1,3,0,0
185,B1,27/01/18,Charleroi,Antwerp,1,1,D,0,1,A,7,7,2,4,17,25,2,3,2,4,0,2
186,B1,27/01/18,Genk,St Truiden,1,1,D,0,0,D,9,8,4,7,14,17,5,1,1,4,0,0
187,B1,27/01/18,Kortrijk,Eupen,0,0,D,0,0,D,13,5,7,1,20,19,10,4,3,5,0,0
188,B1,27/01/18,Waasland-Beveren,Waregem,2,2,D,1,0,H,14,14,7,7,15,16,6,10,3,2,0,0
189,B1,28/01/18,Gent,Club Brugge,2,0,H,0,0,D,10,6,6,2,14,18,9,4,3,2,0,0
190,B1,28/01/18,Oostende,Lokeren,2,3,A,1,1,D,16,11,10,6,18,16,5,7,3,1,0,0
191,B1,28/01/18,Standard,Anderlecht,3,3,D,2,3,A,14,8,9,6,17,20,12,0,0,3,0,0
192,B1,02/02/18,Antwerp,Waasland-Beveren,1,2,A,1,1,D,10,11,6,4,19,21,11,2,3,3,0,0
