,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
189,B1,19/01/2021,17:45,Mouscron,Waasland-Beveren,1,1,D,0,0,D,14,8,4,4,14,12,6,6,4,1,0,0
190,B1,19/01/2021,20:00,Anderlecht,Charleroi,3,0,H,2,0,H,15,4,4,0,2,16,6,4,0,3,0,0
191,B1,20/01/2021,15:30,Kortrijk,St Truiden,0,2,A,0,2,A,29,8,7,2,14,12,9,1,2,0,0,0
192,B1,20/01/2021,17:45,Eupen,Beerschot VA,3,1,H,2,1,H,13,5,5,3,8,14,7,4,0,2,0,1
193,B1,20/01/2021,17:45,Mechelen,Standard,0,4,A,0,1,A,13,11,3,5,17,14,4,0,1,1,0,0
194,B1,20/01/2021,20:00,Antwerp,Cercle Brugge,1,0,H,0,0,D,10,8,1,1,9,14,2,8,2,3,0,0
195,B1,20/01/2021,20:00,Club Brugge,Oostende,2,1,H,1,1,D,14,10,6,4,11,12,5,3,1,1,0,0
196,B1,21/01/2021,17:45,Waregem,Oud-Heverlee Leuven,2,3,A,2,1,H,11,17,5,8,12,9,5,9,1,0,0,0
197,B1,21/01/2021,20:00,Genk,Gent,1,1,D,1,1,D,6,16,3,6,12,25,0,4,2,4,1,0
198,B1,22/01/2021,19:45,Anderlecht,Waasland-Beveren,0,0,D,0,0,D,26,4,10,0,9,9,13,1,1,0,0,0
199,B1,23/01/2021,15:15,Mechelen,Eupen,3,0,H,1,0,H,14,12,8,4,9,16,5,10,3,1,0,0
200,B1,23/01/2021,17:30,Kortrijk,Cercle Brugge,1,2,A,1,2,A,16,11,3,5,13,9,8,7,2,1,0,0
201,B1,23/01/2021,17:30,St Truiden,Mouscron,0,2,A,0,1,A,17,12,3,6,8,16,7,4,4,3,0,0
202,B1,23/01/2021,19:45,Antwerp,Oostende,1,2,A,1,1,D,11,12,3,5,7,9,4,4,3,3,0,0
203,B1,24/01/2021,12:30,Club Brugge,Genk,3,2,H,1,2,A,18,9,8,4,12,17,7,2,0,1,0,0
204,B1,24/01/2021,15:00,Waregem,Beerschot VA,0,3,A,0,0,D,9,9,2,5,13,16,6,3,0,0,0,0
205,B1,24/01/2021,17:15,Standard,Charleroi,3,2,H,2,1,H,14,16,6,10,11,13,3,2,1,2,0,1
206,B1,24/01/2021,19:45,Oud-Heverlee Leuven,Gent,0,3,A,0,1,A,12,25,5,9,4,10,3,7,2,2,1,0
