,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
146,N1,16/12/17,Willem II,Zwolle,2,3,A,2,1,H,12,15,5,8,13,10,6,4,3,2,0,0
147,N1,17/12/17,AZ Alkmaar,Ajax,1,2,A,1,1,D,11,20,4,9,18,15,7,4,3,2,1,0
148,N1,17/12/17,Excelsior,Groningen,2,0,H,1,0,H,16,9,5,2,5,14,9,8,0,1,0,0
149,N1,17/12/17,Sparta Rotterdam,Feyenoord,0,7,A,0,4,A,5,21,3,12,14,9,3,9,3,1,0,0
150,N1,17/12/17,Utrecht,Heracles,1,1,D,1,0,H,16,8,4,3,18,16,2,2,1,1,0,0
151,N1,22/12/17,Den Haag,Zwolle,4,0,H,2,0,H,14,9,10,4,7,10,5,1,0,3,0,0
152,N1,23/12/17,AZ Alkmaar,Heerenveen,3,1,H,0,0,D,12,14,6,4,7,16,4,5,1,2,0,1
153,N1,23/12/17,Excelsior,Twente,0,0,D,0,0,D,8,9,1,2,10,15,4,5,1,2,0,0
154,N1,23/12/17,NAC Breda,Utrecht,3,1,H,1,0,H,13,16,6,6,2,16,4,4,2,3,0,1
155,N1,23/12/17,PSV Eindhoven,Vitesse,2,1,H,1,1,D,23,11,7,6,4,14,6,3,0,4,0,0
156,N1,24/12/17,Ajax,Willem II,3,1,H,0,0,D,28,10,11,3,8,10,12,4,1,2,0,0
157,N1,24/12/17,Feyenoord,Roda,5,1,H,2,0,H,18,9,9,4,9,9,6,5,0,1,0,0
158,N1,24/12/17,Groningen,Sparta Rotterdam,4,0,H,0,0,D,23,14,12,5,10,9,3,9,0,1,0,0
159,N1,24/12/17,VVV Venlo,Heracles,3,1,H,1,1,D,9,16,3,5,7,18,3,10,2,4,0,0
160,N1,16/01/18,Sparta Rotterdam,Vitesse,0,1,A,0,0,D,17,10,5,5,11,10,5,6,1,0,0,0
161,N1,19/01/18,Utrecht,AZ Alkmaar,1,1,D,0,0,D,10,11,3,6,18,15,5,4,2,3,0,0
162,N1,20/01/18,Den Haag,VVV Venlo,1,1,D,1,0,H,7,15,2,5,13,17,4,6,0,3,0,0
163,N1,20/01/18,Roda,Twente,1,1,D,0,0,D,21,11,8,3,7,16,9,2,1,4,0,0
164,N1,20/01/18,Vitesse,Heerenveen,1,1,D,1,1,D,16,6,4,3,11,20,4,5,1,0,0,0
165,N1,20/01/18,Zwolle,NAC Breda,1,0,H,1,0,H,17,8,3,4,15,9,8,4,1,1,0,0
166,N1,21/01/18,Ajax,Feyenoord,2,0,H,0,0,D,19,3,6,2,14,16,5,0,1,4,0,1
167,N1,21/01/18,Heracles,PSV Eindhoven,1,2,A,0,1,A,14,32,5,14,9,11,3,10,0,2,0,0
168,N1,21/01/18,Sparta Rotterdam,Excelsior,2,3,A,2,2,D,16,7,6,4,14,18,10,4,4,3,0,0
169,N1,21/01/18,Willem II,Groningen,1,1,D,0,1,A,15,13,8,6,14,11,5,7,2,0,0,0
170,N1,24/01/18,Utrecht,Feyenoord,1,1,D,1,1,D,12,11,5,2,12,12,7,9,0,2,0,0
171,N1,26/01/18,Heerenveen,Sparta Rotterdam,2,1,H,1,1,D,13,15,7,4,15,16,4,6,2,2,0,0
172,N1,27/01/18,Groningen,Heracles,3,3,D,3,1,H,13,16,7,7,11,11,2,5,2,3,0,0
173,N1,27/01/18,NAC Breda,VVV Venlo,0,1,A,0,0,D,15,9,3,4,11,13,7,5,2,3,0,0
174,N1,27/01/18,Twente,PSV Eindhoven,0,2,A,0,1,A,19,14,6,7,9,4,9,4,1,0,0,0
175,N1,27/01/18,Zwolle,Vitesse,1,2,A,0,1,A,12,12,5,4,10,13,9,6,1,0,0,0
176,N1,28/01/18,Feyenoord,Den Haag,3,1,H,0,0,D,16,10,6,2,6,9,2,9,0,1,0,0
177,N1,28/01/18,Roda,Excelsior,2,1,H,1,1,D,15,9,2,2,7,18,8,5,1,4,0,1
178,N1,28/01/18,Utrecht,Ajax,0,0,D,0,0,D,7,23,3,8,17,16,2,7,4,1,1,0
179,N1,28/01/18,Willem II,AZ Alkmaar,0,2,A,0,2,A,7,19,3,9,12,14,2,12,2,1,0,0
180,N1,02/02/18,Vitesse,Groningen,2,0,H,2,0,H,12,10,7,1,8,13,5,0,1,2,0,0
181,N1,03/02/18,Heerenveen,Twente,1,0,H,0,0,D,14,10,6,2,11,11,6,4,0,3,0,0
182,N1,03/02/18,Heracles,Den Haag,1,1,D,0,1,A,13,14,3,4,9,16,7,4,1,2,0,0
183,N1,03/02/18,PSV Eindhoven,Zwolle,4,0,H,1,0,H,25,3,12,1,7,7,7,1,1,1,0,1
184,N1,04/02/18,Ajax,NAC Breda,3,1,H,2,1,H,32,8,8,3,11,8,14,0,1,4,0,1
185,N1,04/02/18,AZ Alkmaar,Roda,2,2,D,2,1,H,16,15,5,4,9,4,2,6,0,1,0,0
186,N1,04/02/18,Excelsior,Utrecht,2,2,D,1,1,D,13,13,6,4,13,12,3,10,1,1,0,0
187,N1,04/02/18,Sparta Rotterdam,Willem II,1,0,H,1,0,H,17,8,6,3,15,18,3,5,1,3,0,0
188,N1,04/02/18,VVV Venlo,Feyenoord,1,0,H,0,0,D,13,15,6,5,14,9,4,5,1,4,0,0
189,N1,06/02/18,Zwolle,Heerenveen,3,2,H,2,0,H,16,10,8,5,7,13,2,2,1,2,0,0
190,N1,07/02/18,NAC Breda,Heracles,6,1,H,2,1,H,25,11,10,5,8,9,6,6,2,3,0,1
191,N1,07/02/18,PSV Eindhoven,Excelsior,1,0,H,1,0,H,29,11,9,0,9,16,11,5,2,3,0,0
192,N1,07/02/18,Roda,Ajax,2,4,A,1,2,A,11,18,4,5,9,9,1,5,1,2,0,0
193,N1,07/02/18,Twente,AZ Alkmaar,0,4,A,0,1,A,17,18,6,8,11,13,3,4,4,2,1,0
194,N1,07/02/18,Utrecht,Sparta Rotterdam,1,0,H,0,0,D,16,10,3,3,19,15,10,2,1,1,0,0
195,N1,07/02/18,Willem II,VVV Venlo,3,0,H,1,0,H,13,7,6,4,0,0,7,2,1,2,0,0
196,N1,08/02/18,Den Haag,Vitesse,1,0,H,0,0,D,8,16,3,1,15,7,1,10,2,1,0,0
197,N1,08/02/18,Feyenoord,Groningen,3,0,H,0,0,D,24,6,9,1,8,13,10,2,0,0,0,0
198,N1,10/02/18,AZ Alkmaar,VVV Venlo,0,0,D,0,0,D,20,4,5,1,10,11,10,2,1,2,0,0
199,N1,10/02/18,Heerenveen,Roda,1,1,D,0,1,A,20,6,4,2,13,12,10,2,1,1,0,0
200,N1,10/02/18,Heracles,Willem II,1,0,H,1,0,H,11,19,2,2,16,15,7,2,1,2,0,0
201,N1,10/02/18,Sparta Rotterdam,PSV Eindhoven,1,2,A,1,1,D,10,17,4,5,4,8,10,5,0,0,0,0
202,N1,10/02/18,Utrecht,Zwolle,2,1,H,2,0,H,14,15,7,3,11,6,4,4,2,2,0,0
203,N1,11/02/18,Ajax,Twente,2,1,H,1,0,H,19,15,9,6,11,14,2,1,2,2,0,0
204,N1,11/02/18,Excelsior,NAC Breda,0,0,D,0,0,D,13,9,4,1,15,9,6,11,0,2,0,0
205,N1,11/02/18,Groningen,Den Haag,0,0,D,0,0,D,10,18,4,6,11,8,6,9,2,2,0,0
